topic,word,n,tf,idf,tf_idf
3,anglelefthumerus,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,angleleftleg,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,angleleftradius,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,angleofneck,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,angleofspine,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,anglerighthumerus,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,anglerightleg,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,anglerightradius,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,fixef.c,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,highbank,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,lowbank,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,r.sims,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,schutz,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
3,ufs,38,6.9707887264002114e-6,1.0986122886681098,7.658194156532394e-6
